t,close,high,low,n,open,volume,vw,Signal,Portfolio
2022-06-16 04:00:00+00:00,244.97,247.4174,243.02,437475,245.98,39072601,244.895095,HOLD,8738.317757009347
2022-06-17 04:00:00+00:00,247.65,250.5,244.03,425913,244.7,56362323,246.855604,HOLD,8833.91595919241
2022-06-21 04:00:00+00:00,253.74,254.75,249.51,325282,250.255,35195236,253.470628,HOLD,9051.152172362134
2022-06-22 04:00:00+00:00,253.13,257.17,250.37,305210,251.89,30414086,253.961714,HOLD,9029.392880074196
2022-06-23 04:00:00+00:00,258.86,259.37,253.63,317668,255.57,29996356,257.564716,HOLD,9233.78754369694
2022-06-24 04:00:00+00:00,267.7,267.98,261.72,340867,261.808,43321212,266.434608,HOLD,9549.118927017194
2022-06-27 04:00:00+00:00,264.89,268.3,263.28,288959,268.205,28700919,265.244282,HOLD,9448.883498608833
2022-06-28 04:00:00+00:00,256.48,266.91,256.32,337123,263.98,31419755,258.787176,HOLD,9148.890632803026
2022-06-29 04:00:00+00:00,260.26,261.97,255.76,267539,257.59,22287008,260.066182,HOLD,9283.726903046301
2022-06-30 04:00:00+00:00,256.83,259.53,252.9,350611,257.05,38411884,256.758632,HOLD,9161.375472640366
2022-07-01 04:00:00+00:00,259.58,259.77,254.61,298097,256.39,25867134,257.980388,HOLD,9259.470642790897
2022-07-05 04:00:00+00:00,262.85,262.98,254.74,336750,256.16,26290192,260.106476,HOLD,9376.114717842622
2022-07-06 04:00:00+00:00,266.21,267.99,262.4,297477,263.75,26768383,265.438536,HOLD,9495.969180281087
2022-07-07 04:00:00+00:00,268.4,269.055,265.02,279547,265.12,24051134,267.975905,HOLD,9574.088606691874
2022-07-08 04:00:00+00:00,267.66,268.1,263.285,263479,264.79,22387914,266.536083,HOLD,9547.692088178643
2022-07-11 04:00:00+00:00,264.51,266.53,262.18,233468,265.65,22826131,264.510668,HOLD,9435.328529642577
2022-07-12 04:00:00+00:00,253.67,265.94,252.04,432654,265.88,39698282,256.026679,HOLD,9048.655204394665
2022-07-13 04:00:00+00:00,252.72,253.55,248.11,388755,250.19,32800648,251.523785,HOLD,9014.767781979026
2022-07-14 04:00:00+00:00,254.08,255.1374,245.94,338722,250.57,27657954,251.688305,HOLD,9063.280302489835
2022-07-15 04:00:00+00:00,256.72,260.3699,254.7727,320167,255.72,34951957,256.86353,HOLD,9157.451665834345
2022-07-18 04:00:00+00:00,254.25,260.84,253.3,259994,259.75,24021809,256.573872,HOLD,9069.344367553686
2022-07-19 04:00:00+00:00,259.53,259.72,253.68,285209,257.575,30195739,258.31376,HOLD,9257.687094242705
2022-07-20 04:00:00+00:00,262.27,264.87,258.91,292191,259.9,25596330,262.052108,HOLD,9355.4255546836
2022-07-21 04:00:00+00:00,264.84,264.89,257.03,266472,259.79,25498461,262.44452,HOLD,9447.099950060641
2022-07-22 04:00:00+00:00,260.36,265.33,259.07,273719,265.24,24835038,261.320947,HOLD,9287.294000142685
2022-07-25 04:00:00+00:00,258.83,261.5,256.81,245815,260.995,23483706,258.622433,HOLD,9232.717414568026
2022-07-26 04:00:00+00:00,251.9,259.88,249.57,523737,259.86,42740384,252.13205,HOLD,8985.517585788686
2022-07-27 04:00:00+00:00,268.74,270.05,258.85,539333,261.16,50955559,266.049176,HOLD,9586.216736819577
2022-07-28 04:00:00+00:00,276.41,277.84,267.87,413169,269.75,36291278,274.43396,SELL,9859.813084112151
2022-07-29 04:00:00+00:00,280.74,282.0,276.63,358779,277.7,37982088,279.989053,SELL,9859.813084112151
2022-08-01 04:00:00+00:00,278.01,281.28,275.84,296192,277.82,24468136,278.357145,HOLD,9859.813084112151
2022-08-02 04:00:00+00:00,274.82,277.89,272.38,302752,276.0,25221369,274.905424,HOLD,9859.813084112151
2022-08-03 04:00:00+00:00,282.47,283.5,276.61,305575,276.76,26747606,281.355475,HOLD,9859.813084112151
2022-08-04 04:00:00+00:00,283.65,283.8,280.1677,242904,281.8,20165261,282.62898,HOLD,9859.813084112151
2022-08-05 04:00:00+00:00,282.91,283.65,278.68,239853,279.15,19336730,281.865416,HOLD,9859.813084112151
2022-08-08 04:00:00+00:00,280.32,285.92,279.32,258508,284.05,20671392,281.945355,HOLD,9859.813084112151
2022-08-09 04:00:00+00:00,282.3,283.08,277.61,264736,279.64,26857463,281.391233,HOLD,9859.813084112151
2022-08-10 04:00:00+00:00,289.16,289.81,286.94,301914,288.17,28588612,288.711628,HOLD,9859.813084112151
2022-08-11 04:00:00+00:00,287.02,291.21,286.51,250694,290.85,22453778,288.152991,HOLD,9859.813084112151
2022-08-12 04:00:00+00:00,291.91,291.91,286.94,235960,288.48,26174591,290.361845,HOLD,9859.813084112151
2022-08-15 04:00:00+00:00,293.47,294.18,290.11,220403,291.0,20584359,292.644893,HOLD,9859.813084112151
2022-08-16 04:00:00+00:00,292.71,294.04,290.42,238196,291.99,20159545,292.386476,HOLD,9859.813084112151
2022-08-17 04:00:00+00:00,291.32,293.35,289.47,243424,289.74,20918383,291.359323,HOLD,9859.813084112151
2022-08-18 04:00:00+00:00,290.17,291.91,289.08,220667,290.189,19353717,290.45688,HOLD,9859.813084112151
2022-08-19 04:00:00+00:00,286.15,289.25,285.56,242193,288.9,25241918,286.835746,HOLD,9859.813084112151
2022-08-22 04:00:00+00:00,277.75,282.46,277.22,291818,282.08,28900691,278.553283,HOLD,9859.813084112151
2022-08-23 04:00:00+00:00,276.44,278.86,275.4,216861,276.44,19364552,276.787331,HOLD,9859.813084112151
2022-08-24 04:00:00+00:00,275.79,277.23,275.11,225087,275.41,20931476,275.97206,HOLD,9859.813084112151
2022-08-25 04:00:00+00:00,278.85,279.02,274.52,207796,277.33,19007754,277.317484,HOLD,9859.813084112151
2022-08-26 04:00:00+00:00,268.09,280.34,267.98,332005,279.08,33875400,270.442837,BUY,9859.813084112151
2022-08-29 04:00:00+00:00,265.23,267.4,263.85,268269,265.85,22831112,265.490776,BUY,9754.628014096259
2022-08-30 04:00:00+00:00,262.97,267.05,260.66,273164,266.67,25799495,263.023113,BUY,9671.509741985798
2022-08-31 04:00:00+00:00,261.47,267.11,261.33,273071,265.39,29645255,262.704293,HOLD,9616.342747222217
2022-09-01 04:00:00+00:00,260.4,260.89,255.41,332386,258.87,26127281,258.513056,HOLD,9576.990290957528
2022-09-02 04:00:00+00:00,256.06,264.74,254.47,307873,261.695,26192064,258.456532,HOLD,9417.373786108237
2022-09-06 04:00:00+00:00,253.25,257.83,251.94,295719,256.2,23801954,254.098333,HOLD,9314.027615917797
2022-09-07 04:00:00+00:00,258.09,258.83,253.22,259250,254.7,27762263,256.895535,HOLD,9492.033119021615
2022-09-08 04:00:00+00:00,258.52,260.43,254.79,256508,257.51,23625347,257.80061,HOLD,9507.84765752051
2022-09-09 04:00:00+00:00,264.46,265.23,260.29,279070,260.5,25446660,263.89234,HOLD,9726.308956784287
2022-09-12 04:00:00+00:00,266.65,267.45,265.16,230395,265.78,22170177,266.431114,HOLD,9806.852769139114
2022-09-13 04:00:00+00:00,251.99,260.4,251.59,431422,258.84,40011911,253.990979,HOLD,9267.68734031639
2022-09-14 04:00:00+00:00,252.22,254.23,249.86,303099,253.53,27571498,252.072515,HOLD,9276.146279513472
2022-09-15 04:00:00+00:00,245.38,251.4,244.02,437479,249.77,35569718,246.484223,HOLD,9024.584783391547
2022-09-16 04:00:00+00:00,244.74,245.3,242.0627,363124,244.26,51569173,244.113938,HOLD,9001.046865625753
2022-09-19 04:00:00+00:00,244.52,245.14,240.85,327279,242.465,30174633,243.399567,HOLD,8992.955706393761
2022-09-20 04:00:00+00:00,242.45,243.51,239.64,322478,242.065,29511244,241.939543,HOLD,8916.82525362002
2022-09-21 04:00:00+00:00,238.95,247.66,238.9,356098,244.27,31366563,242.439511,HOLD,8788.102265838332
2022-09-22 04:00:00+00:00,240.98,243.86,237.57,368594,237.8704,34068633,240.702709,HOLD,8862.761598751711
2022-09-23 04:00:00+00:00,237.92,241.13,235.2,402048,239.54,37356801,238.292865,HOLD,8750.220929434006
2022-09-26 04:00:00+00:00,237.45,241.45,236.9,298281,237.045,32050686,238.415233,HOLD,8732.935271074752
2022-09-27 04:00:00+00:00,236.41,241.8,234.5,313536,239.98,30251575,236.949302,HOLD,8694.686154705336
2022-09-28 04:00:00+00:00,241.07,242.33,234.73,321347,236.81,33459448,239.545531,HOLD,8866.071618437525
2022-09-29 04:00:00+00:00,237.5,239.95,234.41,325002,238.89,31131681,236.611766,HOLD,8734.774170900206
2022-09-30 04:00:00+00:00,232.9,240.54,232.73,348518,238.29,42777743,235.161233,HOLD,8565.59538695856
2022-10-03 04:00:00+00:00,240.74,241.61,234.66,310572,235.41,33831186,239.294813,HOLD,8853.934879589538
2022-10-04 04:00:00+00:00,248.88,250.36,244.975,363477,245.09,39478170,248.416693,HOLD,9153.307771173233
2022-10-05 04:00:00+00:00,249.2,250.58,244.1,240369,245.99,22415518,247.676683,HOLD,9165.076730056131
2022-10-06 04:00:00+00:00,246.79,250.34,246.08,248354,247.93,22878523,247.684223,HOLD,9076.441758469311
2022-10-07 04:00:00+00:00,234.24,241.32,233.17,432142,240.902,43063645,235.357917,HOLD,8614.87790228069
2022-10-10 04:00:00+00:00,229.25,234.559,226.73,379329,233.05,32094159,229.759742,HOLD,8431.355699700514
2022-10-11 04:00:00+00:00,225.41,229.06,224.11,349684,227.62,33546265,226.281699,BUY,8290.128193105747
2022-10-12 04:00:00+00:00,225.75,227.86,223.96,260520,225.4,24165356,225.882817,HOLD,8302.632711918826
2022-10-13 04:00:00+00:00,234.24,236.1,219.13,489796,219.85,47257197,230.894232,HOLD,8614.87790228069
2022-10-14 04:00:00+00:00,228.56,237.24,228.34,341608,235.54,34833276,230.472532,HOLD,8405.978882109266
2022-10-17 04:00:00+00:00,237.53,238.96,235.135,305968,235.82,33124166,237.200554,HOLD,8735.877510795477
2022-10-18 04:00:00+00:00,238.5,243.93,235.37,325508,243.24,28887038,239.026449,HOLD,8771.552167409258
2022-10-19 04:00:00+00:00,236.48,239.61,234.29,232872,237.04,22202907,236.674476,HOLD,8697.26061446097
2022-10-20 04:00:00+00:00,236.15,241.31,234.87,255777,235.77,25167615,237.037594,HOLD,8685.123875612982
2022-10-21 04:00:00+00:00,242.12,243.0,234.5,290047,234.74,32605213,239.295753,HOLD,8904.688514772031
2022-10-24 04:00:00+00:00,247.25,247.84,241.295,321986,243.76,27945336,245.606437,HOLD,9093.359636863477
2022-10-25 04:00:00+00:00,250.66,251.04,245.83,431900,247.26,38768519,249.552806,HOLD,9218.77260495935
2022-10-26 04:00:00+00:00,231.32,238.3,230.06,979054,231.17,87595534,233.34603,HOLD,8507.486152474254
2022-10-27 04:00:00+00:00,226.75,233.69,225.78,502653,231.04,44557402,227.687136,HOLD,8339.41070842788
2022-10-28 04:00:00+00:00,235.87,236.6,226.05,452646,226.24,45416819,233.460688,HOLD,8674.826036590448
2022-10-31 04:00:00+00:00,232.13,234.92,231.15,310751,233.76,33821790,232.616852,HOLD,8537.276329646587
2022-11-01 04:00:00+00:00,228.17,235.74,227.325,355476,234.6,33470542,229.254465,HOLD,8391.635463470735
2022-11-02 04:00:00+00:00,220.1,231.3,220.04,463717,229.46,43139968,224.171737,HOLD,8094.8370316426735
2022-11-03 04:00:00+00:00,214.25,220.41,213.98,461772,220.09,39909824,216.423005,BUY,7879.685752064711
2022-11-04 04:00:00+00:00,221.39,221.59,213.431,409093,217.55,40960067,218.663685,HOLD,8142.280647139352
2022-11-07 05:00:00+00:00,227.87,228.41,221.28,346834,221.99,37207591,226.216542,HOLD,8380.60206451802
2022-11-08 05:00:00+00:00,228.87,231.65,225.84,328462,228.7,30939016,229.215364,HOLD,8417.380061027074
2022-11-09 05:00:00+00:00,224.51,228.6327,224.33,275127,227.37,31758066,225.580033,HOLD,8257.0279962476
2022-11-10 05:00:00+00:00,242.98,243.33,235.0,490192,235.43,54286856,240.669336,HOLD,8936.317591769817
2022-11-11 05:00:00+00:00,247.11,247.99,241.93,367385,242.99,38192557,245.758345,HOLD,9088.210717352209
2022-11-14 05:00:00+00:00,241.55,243.91,239.21,351682,241.985,36437189,241.983006,HOLD,8883.725056761872
2022-11-15 05:00:00+00:00,241.97,247.0,240.03,377452,245.66,35856696,243.200765,HOLD,8899.171815295675
2022-11-16 05:00:00+00:00,241.73,243.8,240.42,270177,242.79,28628045,242.026008,HOLD,8890.3450961335
2022-11-17 05:00:00+00:00,241.68,243.25,237.63,267482,237.78,26653131,241.234761,HOLD,8888.506196308048
2022-11-18 05:00:00+00:00,241.22,243.74,239.03,265479,243.51,32677081,240.921063,HOLD,8871.588317913884
2022-11-21 05:00:00+00:00,242.05,244.67,241.19,270844,241.43,29130373,242.228838,HOLD,8902.114055016398
2022-11-22 05:00:00+00:00,245.03,245.31,240.71,216516,243.59,23425807,243.90851,HOLD,9011.712484613377
2022-11-23 05:00:00+00:00,247.58,248.28,244.27,229084,245.105,21989631,246.979517,HOLD,9105.496375711464
2022-11-25 05:00:00+00:00,247.49,248.7,246.73,126717,247.31,10598517,247.646013,HOLD,9102.18635602565
2022-11-28 05:00:00+00:00,241.76,246.65,240.8,273062,246.08,28285348,242.508691,HOLD,8891.448436028773
2022-11-29 05:00:00+00:00,240.33,242.79,238.21,222061,241.4,20100882,240.263313,HOLD,8838.855901020826
2022-11-30 05:00:00+00:00,255.14,255.33,239.86,448913,240.57,58657775,251.430993,HOLD,9383.538029319909
2022-12-01 05:00:00+00:00,254.69,256.12,250.9156,352803,253.87,30161778,254.374882,HOLD,9366.987930890835
2022-12-02 05:00:00+00:00,255.02,256.06,249.69,278129,249.82,24457540,253.374154,HOLD,9379.124669738823
2022-12-05 05:00:00+00:00,250.2,253.819,248.06,276726,252.01,26642573,250.560756,HOLD,9201.854726565183
2022-12-06 05:00:00+00:00,245.12,251.86,243.78,274240,250.82,26419591,246.030456,HOLD,9015.022504299193
2022-12-07 05:00:00+00:00,244.37,246.16,242.205,226752,244.83,24575170,244.43557,HOLD,8987.439006917402
2022-12-08 05:00:00+00:00,247.4,248.74,243.06,248289,244.84,25536317,246.794026,HOLD,9098.876336339834
2022-12-09 05:00:00+00:00,245.42,248.31,244.16,238229,244.695,24717011,246.05932,HOLD,9026.055903251909
2022-12-12 05:00:00+00:00,252.51,252.54,247.17,325569,247.445,34730156,251.020329,HOLD,9286.811898501097
