t,close,high,low,n,open,volume,vw,Signal,Portfolio
2022-03-15 04:00:00+00:00,2947.33,2959.7,2840.0,210419,2857.0,4124835,2923.370708,HOLD,10721.228347144115
2022-03-16 04:00:00+00:00,3062.08,3063.0,2947.07,244056,2970.0,4565581,3018.029434,HOLD,11138.643754592478
2022-03-17 04:00:00+00:00,3144.78,3149.97,3042.8,227130,3052.81,3938857,3114.886067,HOLD,11439.473856518229
2022-03-18 04:00:00+00:00,3225.01,3231.88,3120.22,224054,3136.26,6271382,3190.407731,HOLD,11731.319069063607
2022-03-21 04:00:00+00:00,3229.83,3261.68,3191.06,210047,3222.415,3553293,3225.086161,HOLD,11748.852334979956
2022-03-22 04:00:00+00:00,3297.78,3323.34,3233.98,204047,3236.11,3433276,3293.125248,HOLD,11996.027733116049
2022-03-23 04:00:00+00:00,3268.16,3327.4,3253.74,188832,3274.1,3035909,3283.512197,HOLD,11888.281812692338
2022-03-24 04:00:00+00:00,3272.99,3282.37,3201.0,188190,3274.99,3072110,3256.763849,HOLD,11905.851454679054
2022-03-25 04:00:00+00:00,3295.47,3307.37,3245.0,154891,3280.0,2594436,3283.589491,HOLD,11987.62486086153
2022-03-28 04:00:00+00:00,3379.81,3380.75,3298.0,209978,3299.5,3469446,3357.832197,HOLD,12294.420638327283
2022-03-29 04:00:00+00:00,3386.3,3416.63,3357.37,218953,3407.68,3600592,3388.369954,HOLD,12318.028707994734
2022-03-30 04:00:00+00:00,3326.02,3379.01,3310.0,190983,3370.19,3105155,3335.622839,HOLD,12098.753755829266
2022-03-31 04:00:00+00:00,3259.95,3329.9,3259.07,178395,3328.895,3506145,3280.704703,HOLD,11858.417058921958
2022-04-01 04:00:00+00:00,3271.2,3316.54,3246.39,189688,3282.99,3024697,3276.788058,HOLD,11899.340138083562
2022-04-04 04:00:00+00:00,3366.93,3367.89,3264.11,182094,3282.5,2674607,3339.095917,HOLD,12247.568259696041
2022-04-05 04:00:00+00:00,3281.1,3362.21,3265.3201,200704,3354.83,2870573,3299.737165,HOLD,11935.352447745774
2022-04-06 04:00:00+00:00,3175.12,3244.0,3145.09,288819,3233.01,3997229,3184.947496,HOLD,11549.83885400828
2022-04-07 04:00:00+00:00,3155.69,3201.58,3090.23,206601,3168.0,3406839,3144.986532,HOLD,11479.160149287392
2022-04-08 04:00:00+00:00,3089.21,3147.37,3084.615,174488,3135.0,2314166,3110.417901,HOLD,11237.332033495086
2022-04-11 04:00:00+00:00,3022.44,3082.7299,3010.69,191268,3054.26,2631859,3039.403613,HOLD,10994.44901166217
2022-04-12 04:00:00+00:00,3015.75,3101.98,3007.66,188359,3073.85,2895123,3051.833875,HOLD,10970.1134205874
2022-04-13 04:00:00+00:00,3110.82,3120.5,2992.0,157499,3000.37,2857162,3078.878931,HOLD,11315.940721555733
2022-04-14 04:00:00+00:00,3034.13,3117.94,3029.435,160095,3107.8,2879625,3057.995265,HOLD,11036.972637919871
2022-04-18 04:00:00+00:00,3055.7,3080.79,3005.01,152089,3030.47,2439075,3046.632899,HOLD,11115.435821699053
2022-04-19 04:00:00+00:00,3162.31,3172.98,3031.01,169431,3040.59,2978276,3134.44902,HOLD,11503.241107869599
2022-04-20 04:00:00+00:00,3079.96,3152.05,3072.07,192623,3152.05,3178614,3095.340491,HOLD,11203.684168406655
2022-04-21 04:00:00+00:00,2965.92,3134.76,2951.79,241816,3094.28,3412201,3014.516817,HOLD,10788.85146195427
2022-04-22 04:00:00+00:00,2887.0,2992.3,2873.9501,266041,2965.0,3916620,2914.100695,HOLD,10501.771514626818
2022-04-25 04:00:00+00:00,2921.48,2924.43,2846.1309,214449,2880.46,3329079,2893.105368,HOLD,10627.19620524834
2022-04-26 04:00:00+00:00,2787.82,2897.115,2778.59,290595,2896.0,4161772,2810.949349,BUY,10140.993648738115
2022-04-27 04:00:00+00:00,2763.34,2838.97,2715.67,244992,2803.83,3782455,2778.517318,HOLD,10051.945028482463
2022-04-28 04:00:00+00:00,2891.93,2918.75,2806.0,397337,2843.56,6104346,2864.995672,HOLD,10519.70491731719
2022-04-29 04:00:00+00:00,2485.63,2615.22,2432.5,969640,2596.98,14254217,2514.713206,BUY,9041.745178351874
2022-05-02 04:00:00+00:00,2490.0,2493.365,2367.5,436835,2448.02,7792367,2438.763155,BUY,9057.64152110176
2022-05-03 04:00:00+00:00,2485.07,2524.41,2456.5,252671,2481.07,4170596,2486.713501,HOLD,9039.708118411385
2022-05-04 04:00:00+00:00,2518.57,2520.0,2383.66,322963,2472.0,5790089,2458.975066,HOLD,9161.567954137052
2022-05-05 04:00:00+00:00,2328.14,2469.98,2301.45,477800,2460.0,7665694,2348.833845,BUY,8468.858446159778
2022-05-06 04:00:00+00:00,2295.45,2381.01,2261.625,352218,2297.0,6551379,2304.313856,HOLD,8349.945072133747
2022-05-09 04:00:00+00:00,2175.78,2280.0,2159.14,397410,2226.25,6772175,2206.557196,HOLD,7914.632638065376
2022-05-10 04:00:00+00:00,2177.18,2252.85,2143.42,311583,2225.0,5587205,2188.460101,HOLD,7919.725287916596
